CATEGORIE,DATE,QUART,PDQ,X,Y,LAT,LONG
Introduction,20150112,soir,38,297882.942,5042856.896,45.5255953053,-73.5885498688
Introduction,20150112,soir,31,295610.654,5045341.884,45.5479298641,-73.6176855219
Introduction,20150112,soir,8,293118.925,5034153.823,45.4472177916,-73.6493299952
Introduction,20150112,soir,15,297731.516,5037487.317,45.4772760506,-73.5904110041
Introduction,20150112,soir,16,298838.781,5035241.5,45.4570774451,-73.5762210599
Introduction,20150113,nuit,20,299420.778,5040810.504,45.5071946104,-73.5688405653
Introduction,20150113,nuit,15,300316.993,5037415.83,45.4766541649,-73.5573402592
Introduction,20150113,nuit,38,298505.728,5042556.15,45.5228949781,-73.5805733152
Introduction,20150113,nuit,38,298511.912,5041763.575,45.5157631305,-73.5804839851
Introduction,20150113,nuit,23,301621.441,5045688.899,45.5511057954,-73.5407092559
Introduction,20150113,jour,48,301755.542,5049999.053,45.5898905457,-73.5390186091
Introduction,20150113,jour,46,299400.25,5052904,45.6160157321,-73.569236806
Introduction,20150113,jour,23,300975.388,5045706.615,45.5512619618,-73.5489836873
Introduction,20150113,jour,48,301755.542,5049999.053,45.5898905457,-73.5390186091
Introduction,20150113,jour,23,301993.013,5045304.183,45.5476455809,-73.5359481579
Introduction,20150113,jour,22,299806.745,5043116.247,45.5279454819,-73.5639246463
Introduction,20150113,jour,48,301659.605,5048899.349,45.5799946543,-73.5402410931
Introduction,20150113,jour,48,302700.998,5051778.242,45.6059036811,-73.5269090384
Introduction,20150113,jour,27,293243.832,5048336.894,45.574844638,-73.648067467
Introduction,20150113,jour,10,292348.016,5043304.547,45.5295465279,-73.659417308
Introduction,20150113,jour,38,298416.909,5042014.077,45.5180163843,-73.5817032307
Introduction,20150113,soir,39,295456.938,5052454,45.6119246938,-73.6197901281
Introduction,20150113,soir,7,289990.508,5042610.802,45.5232578641,-73.6895783291
Introduction,20150113,soir,48,302061.556,5050088.544,45.5906970839,-73.5350971524
Introduction,20150113,soir,27,292291.492,5046280.536,45.5563244525,-73.660217003
Introduction,20150113,soir,30,296834.423,5045972.375,45.5536183075,-73.6020233271
Introduction,20150113,soir,16,299139.281,5034611,45.4514063899,-73.5723715668
Introduction,20150113,soir,44,299363.724,5045250.858,45.5471501848,-73.5696199848
Introduction,20150113,soir,23,302538.001,5046539.448,45.5587629106,-73.5289743883
Introduction,20150113,soir,44,299210.186,5045244.603,45.5470926848,-73.5715862051
Introduction,20150113,soir,38,298795.069,5041035.639,45.509215362,-73.5768508228
Introduction,20150113,soir,15,297765.378,5035987.149,45.463777175,-73.5899564086
Introduction,20150113,soir,15,299757.38,5037947.048,45.4814304928,-73.5645034836
Introduction,20150114,nuit,22,301048.191,5043286.097,45.5294816461,-73.5480327144
Introduction,20150114,nuit,20,299179.574,5039471.193,45.4951410173,-73.5719120259
Introduction,20150114,jour,33,295242.821,5042722.568,45.5243553726,-73.62234513
Introduction,20150114,jour,30,296801.455,5047547.561,45.5677919646,-73.602471344
Introduction,20150114,jour,31,294926.337,5045772.834,45.5517983315,-73.6264580635
Introduction,20150114,jour,23,301244.997,5045014.664,45.5450369688,-73.5455256468
Introduction,20150114,jour,44,0,0,1,1
Introduction,20150114,jour,48,302268.226,5048767.106,45.5788071721,-73.5324415259
Introduction,20150114,soir,8,290073.094,5033411,45.440475977,-73.6882452511
Introduction,20150114,soir,11,294265.918,5035831.966,45.4623367588,-73.634702911
Introduction,20150114,soir,44,299183.886,5045182.603,45.5465345753,-73.5719223055
Introduction,20150114,soir,35,296412.41,5043504.144,45.531403341,-73.6073861804
Introduction,20150114,soir,12,298492.954,5038792.162,45.4890249302,-73.5806884331
Introduction,20150114,soir,23,301205.187,5045525.116,45.549629994,-73.546039206
Introduction,20150114,soir,23,302120.796,5046355.615,45.5571072379,-73.534317441
Introduction,20150114,soir,38,297821.714,5041875.574,45.5167643763,-73.5893197149
Introduction,20150114,soir,23,301284.018,5045102.453,45.5458271239,-73.5450265716
Introduction,20150115,nuit,30,295158.4758,5049098.762,45.5817293102,-73.623550517
Introduction,20150115,nuit,27,293789.507,5045491.125,45.5492463757,-73.6410117621
Introduction,20150115,nuit,31,295863.067,5044271.196,45.5382987244,-73.6144333944
Introduction,20150115,nuit,30,297187.561,5046653.753,45.5597535231,-73.5975109367
Introduction,20150115,nuit,38,298876.045,5040798.406,45.5070813337,-73.575811631
Introduction,20150115,nuit,8,292557.92,5033637.581,45.4425627928,-73.6564889709
Introduction,20150115,jour,38,298001.936,5043129.094,45.5280458176,-73.587030326
Introduction,20150114,jour,22,300761.214,5041677.081,45.5150014787,-73.5516934887
Introduction,20150115,jour,49,305668.19,5056811.337,45.6511952621,-73.4888609059
Introduction,20150115,jour,48,300270.679,5049217.214,45.5828472437,-73.5580417618
Introduction,20150115,jour,11,293292.733,5035886.213,45.4628095455,-73.6471485909
Introduction,20150115,jour,26,294394.265,5039167.041,45.4923491767,-73.6331323497
Introduction,20150115,jour,49,305237.631,5058505.687,45.6664417398,-73.4943835611
Introduction,20150115,soir,38,299130.23,5040703.565,45.5062300273,-73.5725576126
Introduction,20150115,soir,13,295421.5,5033061,45.4374187058,-73.6198732933
Introduction,20150115,soir,33,295460.916,5043059.072,45.5273863177,-73.6195596323
Introduction,20150115,soir,15,298324.506,5037259.025,45.4752275249,-73.5828232336
Introduction,20150115,soir,8,288136.375,5033681,45.4428620822,-73.7130101546
Introduction,20150115,soir,38,298330.749,5041882.262,45.5168294663,-73.5828043334
Introduction,20150115,soir,26,294603.646,5041112.057,45.5098543187,-73.6304939337
Introduction,20150115,soir,39,293865.906,5049505.5,45.5853701364,-73.6401231038
Introduction,20150115,soir,26,294238.467,5040715.443,45.5062799938,-73.6351589757
Introduction,20150115,soir,10,292223.008,5043782.802,45.5338477888,-73.661030005
Introduction,20150115,soir,7,288305.158,5039888.193,45.498721016,-73.7110609959
Introduction,20150115,soir,35,297354.716,5044669.134,45.5418970499,-73.595339583
Introduction,20150115,soir,48,301755.542,5049999.053,45.5898905457,-73.5390186091
Introduction,20150115,soir,35,297354.716,5044669.134,45.5418970499,-73.595339583
Introduction,20150116,nuit,38,298181.404,5042765.582,45.5247765246,-73.5847278286
Introduction,20150116,nuit,23,0,0,1,1
Introduction,20150116,nuit,20,0,0,1,1
Introduction,20150116,jour,44,298273.281,5045862.092,45.5526409157,-73.5835929454
Introduction,20150116,jour,26,294308.597,5040671.983,45.5058899817,-73.6342605748
Introduction,20150116,jour,3,280956.625,5040891.5,45.5075366433,-73.8051373363
Introduction,20150116,jour,42,296916.762,5052124.664,45.6089793401,-73.6010680075
Introduction,20150116,jour,23,301789.922,5045280.103,45.5474280524,-73.5385489288
Introduction,20150116,jour,23,0,0,1,1
Introduction,20150116,jour,20,299050.854,5039480.78,45.4952262367,-73.5735590789
Introduction,20150116,soir,42,296445.344,5049181.5,45.5824904552,-73.6070614968
Introduction,20150116,soir,23,300929.087,5044902.111,45.5440224924,-73.5495703234
Introduction,20150116,soir,13,294394.574,5030802.766,45.4170833997,-73.6329514206
Introduction,20150116,soir,16,298773.688,5034253,45.4481818676,-73.5770412365
Introduction,20150116,soir,27,292530.892,5046178.039,45.5554064119,-73.6571480551
